*Org
U422,UTAustin,t,
U502,UTDallas,t,
U430,RICE,t,
U693,Baylor,t,
U203,UoH,t,
U108,TAMU,t,
O931,NCAA,f,
O901,Woodlands,f,
O992,SouthTexas,f,
*Leg
1,
2,
3,
4,
123,
*Stroke
Freestyle,
Medley,
Butterfly,
Breaststroke,
Backstroke,
*Distance
100,
200,
400,
*Meet
NCAA_Summer,2007-05-06,4,O931,
Rice Invitational,2007-12-10,4,U430,
UT_Meet,2007-01-07,5,U422,
SouthConfed,2006-03-11,7,O992,
Rice_Winter,2006-05-12,4,U430,
*Participant
P187734,F,U502,Mary,
P239302,F,U430,Patricia,
P744651,F,U203,Linda,
P608878,M,U693,Lucas,
P779068,F,U203,Barbara,
P896191,F,U430,Elizabeth,
P596208,F,U693,Jennifer,
P946656,M,U430,Caden,
P512304,F,U422,Maria,
P888246,F,U502,Susan,
P411523,M,U502,Santiago,
P320247,M,U422,Mateo,
P174047,F,U693,Margaret,
P787951,F,U430,Dorothy,
P419077,F,U502,Serena,
P326451,F,U502,Lisa,
P844138,F,U430,Karen,
P375195,M,U422,Benjamn,
P350087,M,U422,Nicols,
P782093,M,U502,Diego,
P944240,M,U693,Jackson,
P744201,F,U430,Betty,
P246719,M,U203,Liam,
P686315,M,U203,Noah,
P408363,F,U422,Sandra,
P363719,M,U430,Ethan,
P710107,F,U203,Donny,
P482516,M,U693,Jacob,
P892923,F,U430,Carol,
P503806,F,U430,Ruth,
P768448,F,U430,Cynthia,
P108977,F,U430,Anna,
P925991,M,U693,Samuel,
P126715,F,U502,Rebecca,
P801697,F,U203,Amy,
P257391,F,U693,Amanda,
P720454,M,U693,Matas,
P266751,F,U203,Amy,
P314927,F,U422,Karen,
P263779,F,U203,Catheine,
P581736,M,U203,Aiden,
P414627,M,U502,Mason,
P251935,F,U203,Frances,
P648329,F,U422,Shirley,
P595877,F,U693,Laaura,
P315434,F,U430,Michelle,
P857171,M,U693,Sebastin,
P259364,F,U693,Amanda,
P472703,M,U203,Alejandro,
P373735,M,U203,Logan,
P667298,M,U422,Martn,
P551881,M,U502,Ethan,
P650269,F,U422,Gloria,
P966483,M,U502,Aiden,
P451875,M,U693,Elijah,
P214547,F,U430,Katherine,
P837450,M,U693,Liam,
P424921,M,U203,Joshua,
P326379,M,U430,Carter,
P814834,M,U502,Mason,
P385867,F,U430,Wanda,
P260428,M,U203,Jayden,
P313609,F,U693,Anjali,
P938149,F,U203,Aditi,
P673060,F,U693,Shreya,
P500771,F,U422,Kavya,
P774555,M,U430,Muhammad,
P343775,M,U422,Daniel,
P544338,M,U422,William,
P691498,M,U430,Eric,
P849004,M,U422,Jason,
P831647,F,U693,Victoria,
P531550,M,U422,David,
P761841,F,U502,Valeria,
P691951,M,U422,Mohammad,
P852515,M,U430,Jacob,
P614836,M,U422,Benjamin,
P152708,F,U502,Aliah,
P813991,M,U422,Daniel,
P296082,F,U502,Fatima,
P944182,F,U430,Abril,
P132685,F,U693,Ana Paula,
P896372,F,U430,Mary,
P282743,F,U430,Samantha,
P994822,M,U430,Jeremiah,
P422145,F,U430,Rose,
P999815,M,U203,Amir,
P244567,M,U422,Ethan,
P713611,F,U693,Winter,
P759847,F,U693,Victoria,
P627706,M,U203,Aiden,
P298187,M,U203,Ryan,
P354503,F,U693,Patricia,
P518763,F,U693,Linda,
P676479,F,U502,Susan,
P390796,M,U430,Lucas,
P126504,F,U422,Vivian,
P497862,F,U693,Loretta,
P722618,F,U430,Yolanda,
P387891,F,U430,June,
P198583,F,U693,Natalie,
P529632,M,U693,Joseph,
P281029,M,U422,Michael,
P716897,M,U203,Alexander,
P960306,M,U693,Samuel,
P862621,F,U430,Mia,
P163990,F,U693,Ava,
P615133,M,U422,Jack,
P350887,M,U422,Noah,
P544348,F,U502,Sophie,
P450947,F,U203,Isabel,
P926423,M,U693,Deven,
P697891,F,U422,Xu,
P478858,M,U430,Neil,
P951470,F,U430,Sarah,
P831119,F,U693,Xi,
P848881,M,U422,Arnav,
P114140,M,U203,Nikhil,
P561028,F,U693,Xian,
P132246,M,U430,Armaan,
P514806,F,U430,Elizabeth,
P443257,F,U693,Jessie,
P664643,M,U693,John,
P514607,F,U693,Agnes,
P307392,M,U693,Michael,
P364479,M,U502,William,
P893682,F,U693,Xilin,
P294836,M,U502,Richard,
P571660,M,U203,Charles,
P913591,M,U422,Joseph,
P870590,F,U203,Biyu,
P948241,M,U693,Ishaan,
P240255,F,U693,Hansika,
P451746,F,U422,Chunhua,
P998753,M,U430,Aryan,
P263690,F,U430,Gina,
P484371,F,U422,Natalie,
P334035,M,U430,David,
P393193,F,U693,Charline,
P194002,M,U430,Suraj,
P178934,M,U203,James,
P250591,F,U502,Chrn,
P146456,F,U693,Akilah,
P891266,M,U693,Robert,
P395940,F,U203,Aida,
P690976,M,U422,David,
P595277,F,U422,Alda,
P919641,M,U203,Thomas,
P477094,F,U502,Joy,
P490897,M,U502,Rohan,
P776309,F,U203,Maxine,
P493853,F,U203,Terry,
P722188,F,U693,Irma,
P333827,M,U693,John,
P171587,F,U203,Pratiksha,
P358275,F,U430,Sada,
P962214,F,U430,Saya,
P868463,M,U693,Christopher,
P123639,M,U502,Matt,
P503886,F,U422,Chaya,
P209774,M,U430,Nicky,
P305399,F,U422,Marian,
P828862,F,U693,Irma,
P420213,M,U203,Augustin,
P884623,F,U693,Geneva,
P263298,F,U430,Sabrina,
P628983,F,U693,Ada,
P158289,M,U203,Edward,
P717486,F,U693,Fada,
P801129,M,U693,Christopher,
P993334,M,U430,Lucky,
P402065,F,U693,Lindsay,
P306538,F,U203,Toni,
P783509,F,U693,Jessica,
P879800,M,U422,Pedro,
P772269,F,U502,Janet,
P552426,F,U693,Xilin,
P619446,M,U422,Lai,
P362851,M,U693,Carolyn,
P562400,F,U693,Christine,
P139417,M,U430,Ye,
P453891,F,U422,Amanda,
P877604,M,U203,David,
P834447,F,U422,Pamela,
P686988,F,U203,Debra,
P319962,M,U422,Dan,
P996063,F,U203,Stephanie,
P545233,F,U422,Carolyn,
P674970,M,U203,Santiago,
P853409,M,U693,George,
P308956,F,U203,Stephanie,
P855086,M,U430,Jeremy,
P216672,M,U693,Jimmy,
P712128,M,U693,Ryan,
P975231,F,U693,Kelsey,
P446185,M,U502,Rohan,
P109919,M,U693,Daven,
P643181,F,U203,Amanda,
P691294,F,U422,Stephanie,
P102099,F,U693,Rose,
*Event
E0107,M,100,
E0307,M,400,
E0407,F,200,
E0507,M,100,
E1206,M,200,
E1107,F,400,
E1007,F,100,
E0422,F,400,
E0212,M,200,
E9301,M,100,
E4142,F,100,
E7311,M,200,
E1302,M,400,
E5550,F,200,
E4133,M,100,
E1144,F,200,
E0218,F,400,
E2301,M,200,
*StrokeOf
*Heat
1,E0107,NCAA_Summer,
2,E0107,NCAA_Summer,
3,E0107,NCAA_Summer,
4,E0107,NCAA_Summer,
1,E0307,SouthConfed,
2,E0307,SouthConfed,
3,E0307,SouthConfed,
1,E0407,Rice Invitational,
2,E0407,Rice Invitational,
1,E0507,UT_Meet,
1,E1206,NCAA_Summer,
2,E1206,NCAA_Summer,
1,E1107,SouthConfed,
1,E1007,NCAA_Summer,
1,E0422,SouthConfed,
1,E0212,NCAA_Summer,
2,E0212,NCAA_Summer,
3,E0212,NCAA_Summer,
4,E0212,NCAA_Summer,
5,E0212,NCAA_Summer,
1,E9301,Rice Invitational,
1,E4142,NCAA_Summer,
1,E7311,SouthConfed,
2,E7311,SouthConfed,
1,E1302,UT_Meet,
1,E5550,Rice Invitational,
1,E4133,UT_Meet,
2,E4133,UT_Meet,
1,E1144,NCAA_Summer,
1,E0218,Rice_Winter,
1,E2301,Rice_Winter,
*Swim
1,E0107,NCAA_Summer,P411523,1,16.374839782714844,
1,E0107,NCAA_Summer,P948241,1,16.403968811035156,
1,E0107,NCAA_Summer,P664643,1,13.537740707397461,
1,E0107,NCAA_Summer,P686315,1,12.415702819824219,
1,E0107,NCAA_Summer,P944240,1,12.853235244750977,
1,E0107,NCAA_Summer,P966483,1,11.85759449005127,
1,E0107,NCAA_Summer,P852515,1,13.669833183288574,
1,E0107,NCAA_Summer,P614836,1,13.165573120117187,
1,E0107,NCAA_Summer,P581736,1,14.873641967773438,
1,E0107,NCAA_Summer,P849004,1,16.080965042114258,
1,E0107,NCAA_Summer,P913591,1,13.892819404602051,
1,E0107,NCAA_Summer,P619446,1,13.336587905883789,
1,E0107,NCAA_Summer,P158289,1,15.169445037841797,
1,E0107,NCAA_Summer,P925991,1,12.078775405883789,
1,E0107,NCAA_Summer,P132246,1,13.786689758300781,
1,E0107,NCAA_Summer,P319962,1,15.931678771972656,
1,E0107,NCAA_Summer,P364479,1,12.935046195983887,
1,E0107,NCAA_Summer,P334035,1,14.157050132751465,
1,E0107,NCAA_Summer,P879800,1,14.749226570129395,
1,E0107,NCAA_Summer,P390796,1,12.001481056213379,
1,E0107,NCAA_Summer,P451875,1,11.776192665100098,
1,E0107,NCAA_Summer,P544338,1,11.698699951171875,
1,E0107,NCAA_Summer,P960306,1,14.369355201721191,
1,E0107,NCAA_Summer,P490897,1,15.39012336730957,
1,E0107,NCAA_Summer,P891266,1,11.748154640197754,
1,E0107,NCAA_Summer,P774555,1,13.97838020324707,
1,E0107,NCAA_Summer,P424921,1,15.109597206115723,
1,E0107,NCAA_Summer,P478858,1,16.406354904174805,
1,E0107,NCAA_Summer,P350887,1,13.350343704223633,
1,E0107,NCAA_Summer,P326379,1,12.796737670898437,
1,E0107,NCAA_Summer,P216672,1,15.793996810913086,
1,E0107,NCAA_Summer,P837450,1,13.044109344482422,
1,E0107,NCAA_Summer,P712128,1,15.250163078308105,
1,E0107,NCAA_Summer,P716897,1,15.115264892578125,
1,E0107,NCAA_Summer,P853409,1,15.518590927124023,
1,E0107,NCAA_Summer,P848881,1,14.510105133056641,
1,E0107,NCAA_Summer,P109919,1,15.028300285339355,
1,E0107,NCAA_Summer,P414627,1,15.99758243560791,
1,E0107,NCAA_Summer,P482516,1,16.234521865844727,
1,E0107,NCAA_Summer,P627706,1,14.317718505859375,
2,E0107,NCAA_Summer,P615133,1,12.23758602142334,
2,E0107,NCAA_Summer,P720454,1,12.564926147460937,
2,E0107,NCAA_Summer,P334035,1,15.550492286682129,
2,E0107,NCAA_Summer,P853409,1,16.396289825439453,
2,E0107,NCAA_Summer,P855086,1,12.600830078125,
2,E0107,NCAA_Summer,P960306,1,14.641548156738281,
2,E0107,NCAA_Summer,P627706,1,13.804952621459961,
2,E0107,NCAA_Summer,P852515,1,15.742885589599609,
2,E0107,NCAA_Summer,P362851,1,17.04155158996582,
2,E0107,NCAA_Summer,P999815,1,11.589799880981445,
2,E0107,NCAA_Summer,P849004,1,13.11553955078125,
2,E0107,NCAA_Summer,P998753,1,12.781515121459961,
2,E0107,NCAA_Summer,P994822,1,12.36843204498291,
2,E0107,NCAA_Summer,P343775,1,13.517950057983398,
2,E0107,NCAA_Summer,P691951,1,13.268952369689941,
2,E0107,NCAA_Summer,P114140,1,13.813764572143555,
2,E0107,NCAA_Summer,P837450,1,15.291644096374512,
2,E0107,NCAA_Summer,P420213,1,16.285940170288086,
2,E0107,NCAA_Summer,P877604,1,14.722712516784668,
2,E0107,NCAA_Summer,P614836,1,11.608005523681641,
2,E0107,NCAA_Summer,P774555,1,16.176761627197266,
2,E0107,NCAA_Summer,P375195,1,11.814694404602051,
2,E0107,NCAA_Summer,P690976,1,11.910299301147461,
2,E0107,NCAA_Summer,P472703,1,16.343376159667969,
2,E0107,NCAA_Summer,P319962,1,15.125911712646484,
2,E0107,NCAA_Summer,P373735,1,13.43104362487793,
2,E0107,NCAA_Summer,P531550,1,13.008530616760254,
2,E0107,NCAA_Summer,P294836,1,15.463151931762695,
2,E0107,NCAA_Summer,P813991,1,13.622268676757812,
2,E0107,NCAA_Summer,P571660,1,12.837873458862305,
2,E0107,NCAA_Summer,P320247,1,16.073204040527344,
2,E0107,NCAA_Summer,P364479,1,16.271184921264648,
2,E0107,NCAA_Summer,P581736,1,16.877235412597656,
2,E0107,NCAA_Summer,P246719,1,14.336383819580078,
2,E0107,NCAA_Summer,P446185,1,12.244853973388672,
2,E0107,NCAA_Summer,P814834,1,15.654768943786621,
2,E0107,NCAA_Summer,P158289,1,15.014858245849609,
2,E0107,NCAA_Summer,P350887,1,13.910272598266602,
2,E0107,NCAA_Summer,P782093,1,15.887351989746094,
2,E0107,NCAA_Summer,P925991,1,14.887964248657227,
2,E0107,NCAA_Summer,P926423,1,16.527727127075195,
2,E0107,NCAA_Summer,P139417,1,14.075799942016602,
3,E0107,NCAA_Summer,P305399,1,16.686052322387695,
3,E0107,NCAA_Summer,P296082,1,15.75410270690918,
3,E0107,NCAA_Summer,P561028,1,12.549254417419434,
3,E0107,NCAA_Summer,P779068,1,15.010773658752441,
3,E0107,NCAA_Summer,P174047,1,14.536338806152344,
3,E0107,NCAA_Summer,P962214,1,12.612673759460449,
3,E0107,NCAA_Summer,P451746,1,16.628902435302734,
3,E0107,NCAA_Summer,P419077,1,12.049064636230469,
3,E0107,NCAA_Summer,P453891,1,13.771852493286133,
3,E0107,NCAA_Summer,P552426,1,14.220069885253906,
3,E0107,NCAA_Summer,P450947,1,15.124980926513672,
